---------------------------------------------------------------------------------------------------
Date: 12/5/2025 -- 00:25:32 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 3
capture.afpacket.polls                                       | Total                     | 60
capture.afpacket.poll_timeout                                | Total                     | 57
capture.afpacket.poll_data                                   | Total                     | 3
decoder.pkts                                                 | Total                     | 3
decoder.bytes                                                | Total                     | 476
decoder.ipv6                                                 | Total                     | 3
decoder.ethernet                                             | Total                     | 3
decoder.udp                                                  | Total                     | 2
decoder.icmpv6                                               | Total                     | 1
decoder.avg_pkt_size                                         | Total                     | 158
decoder.max_pkt_size                                         | Total                     | 203
flow.total                                                   | Total                     | 3
flow.active                                                  | Total                     | 3
flow.udp                                                     | Total                     | 2
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 2
app_layer.tx.mdns                                            | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 12/5/2025 -- 00:25:40 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 3
capture.afpacket.polls                                       | Total                     | 149
capture.afpacket.poll_timeout                                | Total                     | 146
capture.afpacket.poll_data                                   | Total                     | 3
decoder.pkts                                                 | Total                     | 3
decoder.bytes                                                | Total                     | 476
decoder.ipv6                                                 | Total                     | 3
decoder.ethernet                                             | Total                     | 3
decoder.udp                                                  | Total                     | 2
decoder.icmpv6                                               | Total                     | 1
decoder.avg_pkt_size                                         | Total                     | 158
decoder.max_pkt_size                                         | Total                     | 203
flow.total                                                   | Total                     | 3
flow.active                                                  | Total                     | 3
flow.udp                                                     | Total                     | 2
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 2
app_layer.tx.mdns                                            | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 3
flow.mgr.flows_notimeout                                     | Total                     | 3
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 12/5/2025 -- 00:25:48 (uptime: 0d, 00h 00m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 7
capture.afpacket.polls                                       | Total                     | 211
capture.afpacket.poll_timeout                                | Total                     | 204
capture.afpacket.poll_data                                   | Total                     | 7
decoder.pkts                                                 | Total                     | 7
decoder.bytes                                                | Total                     | 1135
decoder.ipv4                                                 | Total                     | 1
decoder.ipv6                                                 | Total                     | 6
decoder.ethernet                                             | Total                     | 7
decoder.udp                                                  | Total                     | 5
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 162
decoder.max_pkt_size                                         | Total                     | 203
flow.total                                                   | Total                     | 4
flow.active                                                  | Total                     | 4
flow.udp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 5
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 4
flow.mgr.flows_notimeout                                     | Total                     | 4
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 12/5/2025 -- 00:25:56 (uptime: 0d, 00h 00m 32s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 7
capture.afpacket.polls                                       | Total                     | 301
capture.afpacket.poll_timeout                                | Total                     | 294
capture.afpacket.poll_data                                   | Total                     | 7
decoder.pkts                                                 | Total                     | 7
decoder.bytes                                                | Total                     | 1135
decoder.ipv4                                                 | Total                     | 1
decoder.ipv6                                                 | Total                     | 6
decoder.ethernet                                             | Total                     | 7
decoder.udp                                                  | Total                     | 5
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 162
decoder.max_pkt_size                                         | Total                     | 203
flow.total                                                   | Total                     | 4
flow.active                                                  | Total                     | 4
flow.udp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 5
flow.mgr.full_hash_pass                                      | Total                     | 3
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 4
flow.mgr.flows_notimeout                                     | Total                     | 4
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 12/5/2025 -- 00:26:04 (uptime: 0d, 00h 00m 40s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 7
capture.afpacket.polls                                       | Total                     | 390
capture.afpacket.poll_timeout                                | Total                     | 383
capture.afpacket.poll_data                                   | Total                     | 7
decoder.pkts                                                 | Total                     | 7
decoder.bytes                                                | Total                     | 1135
decoder.ipv4                                                 | Total                     | 1
decoder.ipv6                                                 | Total                     | 6
decoder.ethernet                                             | Total                     | 7
decoder.udp                                                  | Total                     | 5
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 162
decoder.max_pkt_size                                         | Total                     | 203
flow.total                                                   | Total                     | 4
flow.active                                                  | Total                     | 4
flow.udp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 5
flow.mgr.full_hash_pass                                      | Total                     | 3
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 6
flow.mgr.flows_notimeout                                     | Total                     | 6
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
